"respondentnr";"geslacht";"leeftijd";"opleidingsniveau";"alcohol_ooit";"alcohol_laatste_jaar";"alcohol_frequentie";"tabak_ooit";"tabak_laatste_jaar";"tabak_frequentie";"vapen_ooit";"vapen_laatste_jaar";"vapen_frequentie";"cannabis_ooit";"cannabis_laatste_jaar";"cannabis_frequentie";"xtc_ooit";"xtc_laatste_jaar";"xtc_frequentie";"cocaine_ooit";"cocaine_laatste_jaar";"cocaine_frequentie";"mmc_ooit";"mmc_laatste_jaar";"mmc_frequentie";"sigaretten_uitgaansdag";"glazen_alcohol_uitgaansdag";"acceptatie_alcohol_vrienden";"acceptatie_xtc_vrienden";"acceptatie_cocaine_vrienden";"makkelijk_aan_drugs_komen";"ervaren_gezondheid";"manier_verkrijgen_drugs";"gemoed_dinsdag_na_xtc"
125;"man";16;"midden";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"eens per week";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;13;9;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee eens";"Goed";"koopt van een dealer";52
76;"vrouw";21;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"een paar keer per maand";0;0;NA;0;0;NA;0;0;NA;0;0;NA;2;22;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"helemaal mee eens";"Goed";NA;NA
81;"man";19;"hoog";1;1;"een paar keer per maand";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;0;0;NA;1;1;"minder dan maandelijks";30;15;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"helemaal mee eens";"Goed";"krijgt van vrienden/kennissen";NA
303;"vrouw";17;"hoog";1;0;NA;1;1;"(bijna) elke dag";1;1;"een paar keer per week";0;0;NA;0;0;NA;1;1;"eens per maand";0;0;NA;58;NA;"helemaal mee eens";"mee eens";"helemaal mee eens";"mee eens";"Goed";"koopt van vrienden/kennissen";NA
255;"man";23;"midden";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"eens per week";0;0;NA;0;0;NA;0;0;NA;0;0;NA;18;24;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee eens";"Goed";NA;NA
336;"vrouw";18;"midden";1;1;"een paar keer per week";1;1;"eens per week";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;0;NA;0;0;NA;1;13;"helemaal mee eens";"mee eens";"mee eens";"helemaal mee eens";"Goed";NA;NA
187;"vrouw";29;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;51;11;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"Matig";"koopt van een dealer";48
84;"vrouw";21;"hoog";1;1;"eens per week";1;0;NA;1;1;"eens per week";1;1;"een keer";1;1;"een keer";1;0;NA;0;0;NA;NA;11;"helemaal mee eens";"mee eens";"mee eens";"mee oneens";"Goed";"koopt van vrienden/kennissen";65
269;"vrouw";16;"midden";1;1;"een paar keer per week";1;1;"eens per week";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;3;8;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"anders";60
239;"man";28;"midden";1;1;"een paar keer per week";1;0;NA;1;1;"een keer";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"eens per week";0;0;NA;NA;9;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"anders";29
70;"vrouw";22;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;NA;7;"helemaal mee eens";"niet mee eens of oneens";"niet mee eens of oneens";"helemaal mee eens";"Goed";"krijgt van vrienden/kennissen";NA
183;"vrouw";28;"midden";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;16;4;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"Matig";"krijgt van vrienden/kennissen";60
27;"man";25;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";0;0;NA;1;1;"een paar keer per maand";5;29;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";65
227;"vrouw";30;"midden";1;1;"een paar keer per week";0;0;NA;0;0;NA;1;0;NA;1;1;"minder dan maandelijks";1;1;"eens per week";0;0;NA;NA;9;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Slecht";"koopt van een dealer";60
2;"vrouw";31;"hoog";1;1;"eens per week";1;0;NA;1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;12;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Uitstekend";"koopt van vrienden/kennissen";65
305;"vrouw";22;"hoog";1;1;"een paar keer per week";1;1;"eens per week";1;1;"eens per maand";1;1;"eens per week";1;1;"minder dan maandelijks";0;0;NA;1;1;"een paar keer per maand";6;1;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Matig";"koopt van een dealer";40
334;"vrouw";22;"hoog";1;1;"eens per maand";0;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"een paar keer per maand";NA;4;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";62
35;"vrouw";31;"hoog";1;1;"een paar keer per maand";1;1;"eens per week";1;1;"(bijna) elke dag";0;0;NA;1;0;NA;0;0;NA;0;0;NA;15;5;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"weet niet";"Goed";NA;NA
122;"man";22;"hoog";1;1;"eens per week";0;0;NA;0;0;NA;1;1;"een keer";1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";NA;9;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee eens";"Goed";"koopt van een dealer";53
48;"man";29;"midden";1;1;"eens per week";1;1;"(bijna) elke dag";0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;1;"eens per maand";26;10;"helemaal mee eens";"niet mee eens of oneens";"mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";NA
63;"vrouw";21;"hoog";1;1;"(bijna) elke dag";0;0;NA;1;1;"een keer";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;1;1;"een paar keer per maand";NA;8;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"helemaal mee eens";"Goed";"koopt van een dealer";NA
50;"man";24;"midden";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"een keer";1;1;"eens per maand";9;8;"helemaal mee eens";"mee eens";"mee oneens";"helemaal mee eens";"Slecht";"koopt van een dealer";75
94;"man";23;"hoog";1;1;"een paar keer per maand";0;0;NA;0;0;NA;1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;NA;4;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";53
163;"vrouw";22;"midden";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"een paar keer per week";1;0;NA;0;0;NA;0;0;NA;0;0;NA;18;17;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee eens";"Goed";NA;NA
32;"man";30;"hoog";1;1;"eens per week";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;1;1;"een keer";NA;6;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee eens";"Uitstekend";"koopt van vrienden/kennissen";51
8;"vrouw";24;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;21;2;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Slecht";"koopt van een dealer";79
115;"man";16;"midden";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;0;0;NA;0;0;NA;0;0;NA;4;9;"helemaal mee eens";"niet mee eens of oneens";"mee oneens";"mee eens";"Goed";NA;NA
15;"man";26;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"eens per week";1;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";NA;19;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Matig";"koopt van een dealer";47
316;"vrouw";22;"hoog";1;1;"eens per maand";1;1;"eens per maand";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";5;10;"mee eens";"mee oneens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";NA
150;"man";35;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;1;0;NA;0;0;NA;0;0;NA;6;13;"helemaal mee eens";"mee eens";"mee eens";"mee eens";"Uitstekend";NA;NA
197;"man";29;"hoog";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";NA;4;"helemaal mee eens";"helemaal mee oneens";"niet mee eens of oneens";"mee eens";"Goed";"koopt van vrienden/kennissen";NA
36;"man";16;"midden";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;0;NA;1;0;NA;0;0;NA;1;1;"een keer";14;26;"helemaal mee eens";"niet mee eens of oneens";"mee eens";"helemaal mee eens";"Matig";"krijgt van vrienden/kennissen";NA
271;"man";24;"midden";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;0;0;NA;2;17;"helemaal mee eens";"mee eens";"mee oneens";"mee oneens";"Zeer goed";NA;NA
320;"vrouw";19;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";1;1;"eens per maand";0;0;NA;31;6;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";50
262;"vrouw";28;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per maand";1;1;"een paar keer per week";1;1;"eens per week";1;0;NA;0;0;NA;0;0;NA;3;10;"helemaal mee eens";"niet mee eens of oneens";"mee oneens";"helemaal mee eens";"Matig";"koopt van vrienden/kennissen";NA
340;"vrouw";20;"hoog";1;1;"een paar keer per maand";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;0;0;NA;9;7;"helemaal mee eens";"mee eens";"mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";NA
259;"vrouw";23;"hoog";1;1;"een paar keer per maand";0;0;NA;0;0;NA;1;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;9;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"helemaal mee eens";"Zeer goed";NA;NA
12;"vrouw";23;"midden";1;1;"eens per week";1;1;"(bijna) elke dag";1;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";7;5;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"Matig";"koopt van een dealer";75
244;"vrouw";22;"midden";1;1;"een paar keer per week";1;1;"een paar keer per maand";1;1;"een keer";0;0;NA;0;0;NA;0;0;NA;1;0;NA;1;11;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"Goed";NA;NA
49;"vrouw";28;"laag";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";6;8;"helemaal mee eens";"mee eens";"mee eens";"helemaal mee eens";"Matig";"koopt van vrienden/kennissen";NA
23;"man";34;"hoog";1;1;"eens per week";0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;0;NA;0;0;NA;NA;11;"helemaal mee eens";"mee oneens";"niet mee eens of oneens";"helemaal mee eens";"Goed";"koopt van een dealer";52
257;"vrouw";29;"hoog";1;1;"eens per week";1;1;"eens per maand";1;1;"eens per maand";0;0;NA;1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;3;10;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee eens";"Goed";"koopt van vrienden/kennissen";85
278;"vrouw";30;"midden";1;1;"eens per week";1;0;NA;1;1;"(bijna) elke dag";0;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;10;"helemaal mee eens";"helemaal mee oneens";"helemaal mee oneens";"mee eens";"Uitstekend";NA;NA
300;"man";21;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";5;6;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee eens";"Goed";"koopt van vrienden/kennissen";65
134;"man";22;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;3;11;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";63
345;"vrouw";17;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"minder dan maandelijks";1;0;NA;0;0;NA;0;0;NA;1;0;NA;NA;6;"helemaal mee eens";"mee oneens";"mee eens";"helemaal mee eens";"Goed";NA;NA
243;"vrouw";22;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";NA;1;"een keer";1;0;NA;0;0;NA;39;6;"helemaal mee eens";"mee eens";"mee oneens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";75
59;"vrouw";22;"midden";1;1;"een paar keer per maand";1;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;5;"helemaal mee eens";"niet mee eens of oneens";"helemaal mee oneens";"helemaal mee eens";"Matig";NA;NA
184;"vrouw";24;"hoog";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;0;NA;0;0;NA;NA;14;"helemaal mee oneens";"mee eens";"helemaal mee eens";"niet mee eens of oneens";"Uitstekend";NA;NA
324;"vrouw";18;"hoog";1;1;"(bijna) elke dag";0;0;NA;1;1;"eens per maand";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";NA;4;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Uitstekend";"koopt van een dealer";63
10;"vrouw";19;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"eens per week";1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;0;NA;NA;11;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"Matig";"krijgt van vrienden/kennissen";47
256;"man";20;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;0;NA;1;1;"een keer";0;0;NA;0;0;NA;1;1;"eens per maand";12;25;"helemaal mee eens";"niet mee eens of oneens";"niet mee eens of oneens";"helemaal mee eens";"Matig";"krijgt van vrienden/kennissen";NA
237;"vrouw";16;"laag";0;0;NA;1;1;"(bijna) elke dag";1;1;"een keer";1;0;NA;0;0;NA;1;0;NA;0;0;NA;34;NA;"mee eens";"mee eens";"mee eens";"mee eens";"Matig";NA;NA
275;"vrouw";17;"midden";1;0;NA;1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;8;NA;"helemaal mee eens";"mee oneens";"mee oneens";"mee eens";"Matig";"anders";NA
112;"vrouw";17;"midden";1;1;"eens per week";1;1;"eens per week";0;0;NA;1;0;NA;1;1;"eens per maand";0;0;NA;0;0;NA;5;7;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee eens";"Goed";"koopt van vrienden/kennissen";61
38;"man";23;"hoog";1;1;"een paar keer per week";0;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";NA;19;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"mee eens";"Goed";"krijgt van vrienden/kennissen";53
211;"vrouw";16;"midden";1;1;"een paar keer per maand";1;0;NA;0;0;NA;1;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;14;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee eens";"Zeer goed";NA;NA
20;"man";35;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per maand";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"een keer";1;0;NA;0;0;NA;7;20;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee oneens";"Zeer goed";"koopt van vrienden/kennissen";48
74;"vrouw";22;"hoog";1;1;"een paar keer per maand";0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;10;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee eens";"Uitstekend";"krijgt van vrienden/kennissen";66
147;"man";30;"hoog";1;1;"eens per maand";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;0;0;NA;62;6;"helemaal mee eens";"mee eens";"mee oneens";"mee eens";"Goed";"ontvangen via de post";65
162;"vrouw";28;"hoog";1;1;"eens per week";1;1;"een paar keer per week";0;0;NA;0;0;NA;1;0;NA;0;0;NA;0;0;NA;5;8;"helemaal mee eens";"mee eens";"weet niet";"weet niet";"Goed";NA;NA
68;"man";21;"midden";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;4;7;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";38
79;"man";22;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;22;7;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";59
337;"man";23;"hoog";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;1;"een paar keer per week";NA;14;"mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Matig";"koopt van een dealer";45
191;"man";25;"hoog";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"een keer";1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;0;NA;6;7;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee eens";"Matig";"krijgt van vrienden/kennissen";46
347;"man";28;"hoog";1;1;"een paar keer per maand";1;1;"eens per week";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;0;NA;1;1;"een keer";5;12;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"niet mee eens of oneens";"Goed";"krijgt van vrienden/kennissen";NA
30;"vrouw";23;"hoog";1;1;"eens per week";1;1;"(bijna) elke dag";1;0;NA;1;0;NA;0;0;NA;0;0;NA;0;0;NA;16;9;"helemaal mee eens";"mee eens";"mee oneens";"mee eens";"Goed";NA;NA
235;"vrouw";30;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";1;1;"een paar keer per maand";1;1;"eens per maand";13;16;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";50
170;"man";27;"midden";1;1;"een paar keer per week";1;1;"een paar keer per maand";0;0;NA;1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"een keer";1;1;"een paar keer per maand";5;11;"helemaal mee eens";"mee eens";"mee eens";"weet niet";"Goed";"koopt van een dealer";53
238;"man";19;"midden";1;1;"een paar keer per week";1;1;"een paar keer per maand";1;1;"(bijna) elke dag";1;0;NA;1;1;"een keer";0;0;NA;0;0;NA;4;12;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"Matig";"krijgt van vrienden/kennissen";31
201;"vrouw";29;"midden";1;1;"een paar keer per maand";1;0;NA;0;0;NA;0;0;NA;1;0;NA;0;0;NA;0;0;NA;NA;10;"helemaal mee eens";"mee oneens";"helemaal mee oneens";"mee oneens";"Uitstekend";NA;NA
117;"vrouw";25;"hoog";1;1;"een paar keer per maand";0;0;NA;0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";NA;14;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee eens";"Zeer goed";"koopt van vrienden/kennissen";75
236;"vrouw";24;"midden";1;1;"een paar keer per week";0;0;NA;1;0;NA;1;0;NA;0;0;NA;1;1;"een paar keer per maand";1;1;"minder dan maandelijks";NA;15;"helemaal mee eens";"mee eens";"helemaal mee eens";"helemaal mee eens";"Matig";"krijgt van vrienden/kennissen";NA
295;"vrouw";22;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";0;0;NA;1;1;"eens per maand";1;1;"eens per maand";0;0;NA;0;0;NA;8;8;"helemaal mee eens";"helemaal mee eens";"mee oneens";"mee eens";"Goed";"koopt van een dealer";53
204;"vrouw";24;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"eens per week";0;0;NA;0;0;NA;0;0;NA;3;13;"helemaal mee eens";"mee oneens";"niet mee eens of oneens";"mee eens";"Goed";"koopt van vrienden/kennissen";NA
25;"man";19;"hoog";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;1;1;"een keer";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";NA;7;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee eens";"Zeer goed";"krijgt van vrienden/kennissen";NA
277;"vrouw";35;"hoog";1;1;"eens per week";1;0;NA;1;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";NA;2;"helemaal mee eens";"helemaal mee eens";"mee oneens";"mee eens";"Goed";"koopt van vrienden/kennissen";56
212;"man";29;"hoog";1;1;"een paar keer per maand";1;1;"een paar keer per maand";1;0;NA;0;0;NA;1;1;"een keer";0;0;NA;1;1;"een keer";3;3;"helemaal mee eens";"mee oneens";"helemaal mee oneens";"helemaal mee oneens";"Goed";"krijgt van vrienden/kennissen";51
341;"man";19;"hoog";1;1;"eens per week";1;1;"(bijna) elke dag";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";12;4;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";34
71;"vrouw";23;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per maand";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;1;1;"minder dan maandelijks";6;6;"helemaal mee eens";"niet mee eens of oneens";"mee eens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";NA
83;"vrouw";16;"laag";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"(bijna) elke dag";1;1;"een keer";0;0;NA;0;0;NA;3;6;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"mee eens";"Matig";"koopt van vrienden/kennissen";42
129;"man";32;"hoog";1;1;"eens per maand";1;0;NA;0;0;NA;1;1;"een paar keer per week";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;11;"mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"Uitstekend";"anders";68
133;"man";27;"midden";1;1;"een paar keer per week";1;1;"een paar keer per maand";0;0;NA;1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";9;6;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Slecht";"koopt van een dealer";54
73;"vrouw";19;"midden";1;1;"een paar keer per week";1;1;"eens per maand";1;1;"een paar keer per maand";1;0;NA;0;0;NA;0;0;NA;1;1;"een keer";3;12;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee eens";"Goed";"krijgt van vrienden/kennissen";NA
179;"anders";18;"midden";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"eens per week";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";26;3;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"weet niet";"Goed";"koopt van een dealer";44
268;"vrouw";26;"hoog";1;1;"eens per week";0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;8;"helemaal mee eens";"mee oneens";"mee oneens";"weet niet";"Zeer goed";NA;NA
206;"vrouw";22;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"een keer";NA;0;NA;0;0;NA;NA;21;"helemaal mee eens";"mee eens";"mee oneens";"helemaal mee eens";"Uitstekend";"koopt van vrienden/kennissen";48
267;"man";16;"hoog";1;1;"eens per week";0;0;NA;1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;20;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Matig";"koopt van vrienden/kennissen";67
274;"man";25;"midden";1;1;"een paar keer per week";1;1;"een keer";1;1;"eens per maand";0;0;NA;1;1;"eens per maand";1;1;"minder dan maandelijks";1;0;NA;1;20;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Matig";"koopt van een dealer";55
186;"man";20;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"eens per maand";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;23;13;"helemaal mee eens";"mee eens";"mee oneens";"helemaal mee eens";"Matig";"krijgt van vrienden/kennissen";NA
98;"man";27;"hoog";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";0;0;NA;0;0;NA;1;1;"een keer";5;15;"helemaal mee eens";"mee eens";"helemaal mee oneens";"helemaal mee oneens";"Zeer goed";"krijgt van vrienden/kennissen";NA
281;"vrouw";24;"laag";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"een keer";1;1;"minder dan maandelijks";11;3;"helemaal mee eens";"helemaal mee eens";"mee oneens";"mee eens";"Matig";"koopt van een dealer";93
342;"vrouw";22;"hoog";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;7;8;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee eens";"Zeer goed";"krijgt van vrienden/kennissen";61
210;"vrouw";21;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;6;15;"helemaal mee eens";"niet mee eens of oneens";"helemaal mee oneens";"helemaal mee eens";"Goed";NA;NA
