"respondentnr";"geslacht";"leeftijd";"opleidingsniveau";"alcohol_ooit";"alcohol_laatste_jaar";"alcohol_frequentie";"tabak_ooit";"tabak_laatste_jaar";"tabak_frequentie";"vapen_ooit";"vapen_laatste_jaar";"vapen_frequentie";"cannabis_ooit";"cannabis_laatste_jaar";"cannabis_frequentie";"xtc_ooit";"xtc_laatste_jaar";"xtc_frequentie";"cocaine_ooit";"cocaine_laatste_jaar";"cocaine_frequentie";"mmc_ooit";"mmc_laatste_jaar";"mmc_frequentie";"sigaretten_uitgaansdag";"glazen_alcohol_uitgaansdag";"acceptatie_alcohol_vrienden";"acceptatie_xtc_vrienden";"acceptatie_cocaine_vrienden";"makkelijk_aan_drugs_komen";"ervaren_gezondheid"
22;"man";16;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;7;8;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"zeer goed"
53;"vrouw";18;"midden";1;1;"eens per week";1;1;"eens per week";1;0;NA;0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";3;3;"helemaal mee eens";"helemaal mee oneens";"helemaal mee oneens";"helemaal mee eens";"slecht"
315;"man";21;NA;1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"eens per maand";1;0;NA;1;1;"minder dan maandelijks";1;1;"een keer";1;1;"een paar keer per maand";18;13;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"slecht"
93;"vrouw";23;"hoog";1;1;"eens per week";1;0;NA;0;0;NA;1;0;NA;1;1;"een keer";1;0;NA;0;0;NA;NA;9;"helemaal mee eens";"helemaal mee eens";"mee oneens";"mee eens";"goed"
51;"vrouw";22;"hoog";1;1;"een paar keer per week";1;1;"eens per week";0;0;NA;1;1;"een keer";1;0;NA;0;0;NA;0;0;NA;2;21;"helemaal mee eens";"niet mee eens of oneens";"niet mee eens of oneens";"helemaal mee eens";"goed"
82;"vrouw";22;"midden";1;1;"eens per week";1;1;"een keer";0;0;NA;1;0;NA;0;0;NA;0;0;NA;1;1;"een keer";8;10;"helemaal mee eens";"helemaal mee oneens";"mee eens";"mee eens";"zeer goed"
3;"man";23;"hoog";1;1;"een paar keer per week";1;1;"eens per maand";1;1;"minder dan maandelijks";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";0;0;NA;1;1;"eens per maand";6;11;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"goed"
157;"man";26;"midden";1;1;"een paar keer per maand";1;1;"een keer";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;5;9;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"niet mee eens of oneens";"zeer goed"
28;"man";24;"hoog";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;1;1;"eens per maand";0;0;NA;1;1;"minder dan maandelijks";2;19;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"goed"
73;"vrouw";29;"midden";1;1;"een paar keer per week";1;1;"eens per maand";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;5;10;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee eens";"goed"
11;"man";21;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"een paar keer per maand";0;0;NA;1;1;"een paar keer per maand";1;1;"eens per maand";1;1;"minder dan maandelijks";20;6;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
69;"vrouw";38;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;0;NA;0;0;NA;11;9;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"goed"
136;"man";32;"midden";1;1;"een paar keer per week";1;0;NA;0;0;NA;1;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;NA;11;"helemaal mee eens";"mee oneens";"mee eens";"mee eens";"zeer goed"
270;"vrouw";23;"hoog";0;0;NA;1;1;"een paar keer per week";0;0;NA;0;0;NA;1;0;NA;0;0;NA;1;1;"eens per maand";13;NA;"helemaal mee eens";"mee eens";"mee oneens";"helemaal mee eens";"goed"
186;"man";21;"hoog";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";0;0;NA;1;0;NA;0;0;NA;0;0;NA;31;15;"helemaal mee eens";"helemaal mee oneens";"helemaal mee oneens";"helemaal mee eens";"niet goed/niet slecht"
40;"man";25;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;0;NA;1;0;NA;0;0;NA;0;0;NA;19;10;"helemaal mee eens";"mee eens";"mee oneens";"mee eens";"goed"
218;"man";27;"hoog";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;2;5;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee eens";"goed"
238;"man";28;"midden";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;9;6;"helemaal mee eens";"mee eens";"mee oneens";"helemaal mee eens";"goed"
228;"man";26;"midden";0;0;NA;1;0;NA;0;0;NA;0;0;NA;1;1;"een keer";1;1;"een keer";0;0;NA;NA;NA;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"niet goed/niet slecht"
309;"vrouw";33;"hoog";1;1;"een paar keer per week";0;0;NA;0;0;NA;1;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;NA;13;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
138;"vrouw";16;"midden";1;1;"een keer";1;0;NA;1;1;"minder dan maandelijks";1;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;8;"helemaal mee eens";"mee oneens";"niet mee eens of oneens";"helemaal mee eens";"zeer goed"
195;"man";19;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een paar keer per week";1;1;"eens per week";0;0;NA;0;0;NA;0;0;NA;5;10;"helemaal mee eens";"mee eens";"mee oneens";"helemaal mee eens";"goed"
55;"vrouw";19;"hoog";1;1;"een paar keer per week";1;0;NA;1;1;"eens per maand";0;0;NA;0;0;NA;1;0;NA;0;0;NA;NA;11;"helemaal mee eens";"niet mee eens of oneens";"niet mee eens of oneens";"helemaal mee eens";"goed"
290;"vrouw";25;"hoog";1;1;"een paar keer per week";1;0;NA;0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;9;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"slecht"
205;"man";21;"hoog";1;1;"eens per week";0;0;NA;1;1;"een paar keer per maand";1;1;"eens per maand";0;0;NA;0;0;NA;1;1;"eens per maand";NA;6;"helemaal mee eens";"mee eens";"mee eens";"helemaal mee eens";"zeer goed"
45;"man";23;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"minder dan maandelijks";1;1;"eens per maand";0;0;NA;0;0;NA;0;0;NA;NA;10;"helemaal mee eens";"niet mee eens of oneens";"mee eens";"helemaal mee eens";"niet goed/niet slecht"
300;"man";22;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";3;18;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"zeer goed"
110;"vrouw";35;"midden";1;1;"eens per week";0;0;NA;0;0;NA;1;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;8;"helemaal mee eens";"mee oneens";"helemaal mee oneens";"mee eens";"zeer goed"
264;"man";18;"hoog";1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";1;0;NA;0;0;NA;NA;7;"helemaal mee oneens";"mee eens";"niet mee eens of oneens";"mee eens";"zeer goed"
168;"man";29;"hoog";1;1;"eens per maand";0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;NA;7;"helemaal mee eens";"mee eens";"helemaal mee eens";"niet mee eens of oneens";"goed"
167;"man";22;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";0;0;NA;0;0;NA;2;5;"helemaal mee eens";"mee eens";"mee oneens";"mee eens";"zeer goed"
297;"vrouw";39;"hoog";1;1;"eens per week";0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";NA;11;"helemaal mee eens";"helemaal mee eens";"mee oneens";"niet mee eens of oneens";"zeer goed"
340;"vrouw";24;"hoog";1;1;"een paar keer per maand";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"een paar keer per week";1;0;NA;0;0;NA;0;0;NA;2;4;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"niet goed/niet slecht"
106;"man";26;"midden";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;1;"minder dan maandelijks";1;1;"een keer";1;0;NA;0;0;NA;29;15;"helemaal mee eens";"mee eens";"mee oneens";"niet mee eens of oneens";"goed"
153;"vrouw";28;"hoog";1;1;"een paar keer per week";0;0;NA;0;0;NA;1;1;"een paar keer per maand";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;21;"helemaal mee eens";"mee eens";"helemaal mee eens";"helemaal mee eens";"niet goed/niet slecht"
35;"vrouw";43;"hoog";1;1;"een paar keer per maand";1;1;"eens per week";1;0;NA;1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;26;10;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"niet goed/niet slecht"
46;"man";18;"hoog";1;1;"een paar keer per week";1;0;NA;1;0;NA;1;1;"minder dan maandelijks";1;1;"eens per week";1;1;"een paar keer per maand";0;0;NA;NA;12;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"niet goed/niet slecht"
130;"man";29;"hoog";1;1;"een paar keer per week";1;0;NA;1;1;"minder dan maandelijks";1;0;NA;1;1;"een keer";0;0;NA;0;0;NA;NA;10;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
27;"man";18;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;3;8;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"niet goed/niet slecht"
79;"man";22;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";1;1;"eens per maand";0;0;NA;0;0;NA;12;10;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"goed"
341;"man";28;"hoog";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";12;14;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"niet goed/niet slecht"
105;"man";21;"hoog";1;1;"een paar keer per maand";1;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;1;0;NA;0;0;NA;NA;14;"helemaal mee eens";"helemaal mee oneens";"helemaal mee oneens";"mee oneens";"goed"
25;"man";28;"hoog";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;11;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee eens";"goed"
56;"vrouw";24;"hoog";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;1;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;NA;2;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
281;"vrouw";23;"laag";1;1;"eens per week";1;1;"een paar keer per maand";0;0;NA;1;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;10;"helemaal mee eens";"helemaal mee eens";"mee oneens";"mee eens";"goed"
99;"vrouw";22;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"een paar keer per week";1;0;NA;1;1;"een keer";0;0;NA;1;1;"minder dan maandelijks";7;6;"helemaal mee eens";"mee oneens";"helemaal mee oneens";"weet niet";"goed"
227;"vrouw";31;"midden";1;1;"een paar keer per week";0;0;NA;1;1;"een paar keer per maand";1;0;NA;1;1;"eens per maand";1;1;"minder dan maandelijks";0;0;NA;NA;20;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"niet goed/niet slecht"
244;"vrouw";22;"midden";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;1;"een keer";0;0;NA;0;0;NA;0;0;NA;4;17;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"goed"
165;"man";40;"laag";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een paar keer per week";1;0;NA;1;0;NA;0;0;NA;0;0;NA;18;14;"helemaal mee eens";"mee eens";"mee oneens";"helemaal mee eens";"niet goed/niet slecht"
344;"man";20;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"een paar keer per maand";1;1;"eens per maand";1;1;"eens per maand";0;0;NA;1;1;"eens per week";2;10;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"niet goed/niet slecht"
233;"man";20;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"een paar keer per maand";1;1;"eens per week";1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";NA;25;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"goed"
59;"vrouw";22;"midden";1;1;"een paar keer per maand";1;0;NA;1;1;"minder dan maandelijks";1;0;NA;0;0;NA;0;0;NA;1;1;"eens per maand";NA;3;"helemaal mee eens";"mee eens";"helemaal mee oneens";"helemaal mee eens";"goed"
276;"vrouw";22;"hoog";1;1;"een paar keer per maand";0;0;NA;1;1;"een keer";0;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;9;"helemaal mee eens";"helemaal mee oneens";"mee oneens";"helemaal mee oneens";"zeer goed"
95;"man";20;"hoog";1;1;"eens per maand";1;0;NA;1;1;"eens per week";1;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;9;"mee oneens";"mee eens";"mee eens";"mee eens";"goed"
255;"man";21;"midden";1;1;"eens per week";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;1;0;NA;1;0;NA;0;0;NA;6;12;"weet niet";"niet mee eens of oneens";"helemaal mee oneens";"mee eens";"zeer goed"
202;"vrouw";24;"hoog";1;1;"eens per week";1;1;"een keer";0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;9;1;"helemaal mee eens";"mee oneens";"helemaal mee oneens";"niet mee eens of oneens";"zeer goed"
58;"man";19;"hoog";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;0;NA;1;0;NA;1;0;NA;NA;1;"een keer";1;1;"minder dan maandelijks";31;4;"helemaal mee eens";"mee eens";"helemaal mee eens";"mee eens";"goed"
172;"vrouw";45;"midden";0;0;NA;1;1;"(bijna) elke dag";0;0;NA;0;0;NA;1;1;"eens per maand";1;0;NA;0;0;NA;13;NA;"mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
283;"vrouw";24;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";16;10;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
148;"vrouw";31;"hoog";1;1;"eens per week";0;0;NA;1;1;"een keer";1;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;3;"helemaal mee eens";"mee oneens";"helemaal mee oneens";"helemaal mee eens";"goed"
256;"man";21;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"een paar keer per maand";1;15;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"goed"
327;"vrouw";17;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";1;0;NA;0;0;NA;28;5;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"mee eens";"goed"
250;"man";40;"hoog";1;1;"eens per maand";1;1;"een paar keer per maand";0;0;NA;1;1;"minder dan maandelijks";1;1;"een paar keer per maand";0;0;NA;1;0;NA;5;6;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
201;"vrouw";35;"midden";1;1;"een paar keer per maand";0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;0;NA;0;0;NA;NA;11;"mee eens";"niet mee eens of oneens";"mee oneens";"niet mee eens of oneens";"zeer goed"
150;"man";30;"hoog";1;1;"eens per week";1;0;NA;0;0;NA;1;0;NA;0;0;NA;1;1;"een keer";1;0;NA;NA;5;"helemaal mee eens";"mee eens";"mee eens";"niet mee eens of oneens";"goed"
182;"man";21;"midden";1;1;"een paar keer per week";1;0;NA;1;1;"minder dan maandelijks";1;1;"eens per maand";0;0;NA;0;0;NA;1;1;"een keer";NA;16;"helemaal mee eens";"helemaal mee oneens";"niet mee eens of oneens";"mee eens";"goed"
206;"vrouw";22;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"eens per maand";1;0;NA;0;0;NA;0;0;NA;1;1;"een keer";NA;20;"helemaal mee eens";"mee eens";"mee oneens";"helemaal mee eens";"goed"
49;"vrouw";25;"laag";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;11;7;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"zeer slecht"
7;"man";40;"hoog";1;1;"een paar keer per week";1;0;NA;0;0;NA;0;0;NA;0;0;NA;1;0;NA;0;0;NA;NA;10;"helemaal mee eens";"helemaal mee oneens";"mee oneens";"helemaal mee oneens";"goed"
189;"man";21;"hoog";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";0;0;NA;1;1;"minder dan maandelijks";1;1;"eens per maand";1;1;"minder dan maandelijks";1;0;NA;26;8;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"slecht"
263;"anders";21;"midden";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"eens per maand";14;12;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"niet goed/niet slecht"
265;"vrouw";38;"hoog";1;1;"eens per maand";0;0;NA;1;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;NA;4;"helemaal mee eens";"mee eens";"mee eens";"mee eens";"zeer goed"
184;"vrouw";23;"hoog";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;0;NA;1;0;NA;0;0;NA;0;0;NA;NA;14;"helemaal mee oneens";"mee oneens";"mee eens";"mee eens";"zeer goed"
102;"vrouw";25;"hoog";1;1;"een paar keer per week";1;1;"eens per week";1;1;"een paar keer per maand";1;1;"eens per week";0;0;NA;0;0;NA;0;0;NA;2;5;"helemaal mee eens";"helemaal mee oneens";"mee oneens";"mee eens";"zeer goed"
74;"vrouw";19;"hoog";1;1;"een paar keer per maand";0;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"een keer";1;0;NA;0;0;NA;NA;8;"helemaal mee eens";"helemaal mee eens";"mee oneens";"mee eens";"goed"
294;"vrouw";25;"hoog";1;1;"eens per week";0;0;NA;0;0;NA;0;0;NA;1;1;"eens per maand";0;0;NA;1;1;"minder dan maandelijks";NA;3;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee eens";"zeer goed"
14;"vrouw";21;"hoog";1;1;"een paar keer per week";1;0;NA;0;0;NA;0;0;NA;1;0;NA;0;0;NA;0;0;NA;NA;15;"helemaal mee eens";"weet niet";"niet mee eens of oneens";"helemaal mee eens";"niet goed/niet slecht"
188;"man";22;"hoog";1;1;"eens per week";1;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"eens per maand";0;0;NA;NA;17;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
94;"man";21;"hoog";1;1;"een paar keer per maand";0;0;NA;0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";NA;12;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"niet goed/niet slecht"
191;"man";18;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een keer";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;6;18;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee eens";"goed"
15;"man";27;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"(bijna) elke dag";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;NA;6;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
226;"vrouw";24;"hoog";1;1;"eens per week";1;1;"eens per maand";1;1;"minder dan maandelijks";1;0;NA;1;1;"eens per maand";1;1;"een paar keer per maand";0;0;NA;2;11;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
220;"man";23;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een paar keer per week";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;6;8;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
78;"vrouw";22;"midden";1;1;"een paar keer per maand";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";0;0;NA;1;1;"eens per maand";0;0;NA;5;12;"helemaal mee eens";"mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
63;"vrouw";22;"hoog";1;1;"(bijna) elke dag";0;0;NA;0;0;NA;1;0;NA;0;0;NA;1;1;"eens per maand";0;0;NA;NA;10;"helemaal mee eens";"weet niet";"helemaal mee eens";"helemaal mee eens";"goed"
219;"man";17;"laag";1;1;"minder dan maandelijks";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";15;12;"helemaal mee eens";"mee oneens";"helemaal mee oneens";"mee eens";"goed"
151;"man";22;"midden";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;38;7;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"niet goed/niet slecht"
298;"vrouw";25;"hoog";1;1;"een paar keer per week";1;0;NA;1;1;"minder dan maandelijks";1;0;NA;1;1;"een keer";1;1;"een keer";0;0;NA;NA;18;"helemaal mee eens";"niet mee eens of oneens";"mee eens";"mee eens";"zeer goed"
43;"man";20;"hoog";1;1;"een paar keer per week";0;0;NA;0;0;NA;1;1;"eens per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";NA;16;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
125;"man";28;"midden";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"eens per maand";1;1;"een paar keer per week";1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";10;12;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee eens";"niet goed/niet slecht"
260;"vrouw";33;"hoog";1;1;"een paar keer per maand";1;1;"een keer";1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;1;7;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
231;"man";32;NA;1;1;"een paar keer per maand";0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";NA;10;"helemaal mee eens";"mee eens";"mee eens";"mee oneens";"goed"
213;"man";30;"midden";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";20;24;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"niet goed/niet slecht"
124;"vrouw";22;"hoog";1;1;"eens per week";1;0;NA;1;1;"eens per maand";0;0;NA;1;0;NA;1;0;NA;0;0;NA;NA;6;"helemaal mee eens";"helemaal mee eens";"mee oneens";"mee eens";"goed"
181;"man";21;"midden";1;0;NA;1;1;"eens per week";0;0;NA;1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;1;1;"een keer";10;NA;"helemaal mee oneens";"mee eens";"niet mee eens of oneens";"helemaal mee eens";"goed"
239;"man";25;"midden";1;1;"een paar keer per week";1;0;NA;0;0;NA;1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"een paar keer per maand";1;1;"een paar keer per maand";NA;5;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
155;"vrouw";22;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"eens per week";1;1;"een paar keer per week";1;0;NA;1;0;NA;1;0;NA;34;11;"helemaal mee eens";"mee eens";"helemaal mee oneens";"weet niet";"niet goed/niet slecht"
326;"vrouw";29;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";0;0;NA;1;1;"eens per maand";1;0;NA;1;1;"een paar keer per maand";32;5;"helemaal mee eens";"helemaal mee eens";"weet niet";"helemaal mee eens";"niet goed/niet slecht"
146;"man";22;"hoog";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;0;0;NA;0;0;NA;0;0;NA;2;11;"helemaal mee eens";"mee oneens";"mee eens";"helemaal mee oneens";"goed"
268;"vrouw";27;"hoog";1;1;"een paar keer per maand";0;0;NA;0;0;NA;1;1;"een keer";1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";NA;3;"helemaal mee eens";"mee eens";"mee oneens";"mee eens";"goed"
52;"vrouw";19;NA;1;1;"eens per maand";1;1;"(bijna) elke dag";1;1;"een paar keer per week";0;0;NA;0;0;NA;0;0;NA;0;0;NA;26;6;"helemaal mee eens";"mee eens";"helemaal mee oneens";"helemaal mee eens";"niet goed/niet slecht"
274;"man";18;"midden";1;1;"een paar keer per week";1;1;"eens per maand";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"een paar keer per maand";1;0;NA;1;1;"minder dan maandelijks";3;6;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"niet goed/niet slecht"
286;"vrouw";28;"hoog";1;1;"een paar keer per maand";0;0;NA;0;0;NA;1;1;"een keer";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;NA;11;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee eens";"goed"
